Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
58622,Costco Wholesale,58698,Mira Loma,CA,Riverside,D960,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.0,1.0,1.0,11,2011,,,,Y,,,,,,1.1,Y,,,,,
58622,Costco Wholesale,58698,Mira Loma,CA,Riverside,D9611,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.5,1.5,1.5,11,2011,,,,Y,,,,,,1.7,Y,,,,,
58622,Costco Wholesale,58698,Mira Loma,CA,Riverside,D9612,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.5,11,2011,,,,Y,,,,,,0.6,Y,,,,,
58629,TIG Sun Energy I LLC,58700,Colleton Solar Farm,SC,Colleton,CS300,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.5,2.5,2.5,12,2013,,Y,,Y,,,,,,3,Y,,,,,
57369,"Apple, Inc",58701,Apple Data Center - PV2,NC,Catawba,PV2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,20.0,19.4,19.4,10,2013,,Y,,,,,,,,25,Y,,,,,
58639,Axio Green LLC,58702,Axio Green LLC,MA,Franklin,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,2.0,2.0,6,2012,,N,,Y,,,,,,2,Y,,,,,
58638,"Lenape Solar II, LLC",58703,Lenape II,IN,Marion,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.0,4.0,4.0,11,2015,,,,Y,,,,,,5,Y,,,,,
58649,Solar Star Arizona II LLC,58708,Phoenix Airport East Economy Lot,AZ,Maricopa,PAEEL,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.1,1.0,1.0,12,2012,,,,Y,,,,,,5.4,Y,,,,,
58649,Solar Star Arizona II LLC,58709,Phoenix Airport Rental Car Center,AZ,Maricopa,PARCC,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.6,1.4,1.4,12,2012,,,,Y,,,,,,5.4,Y,,,,,
59745,First Solar Asset Management,58710,Barilla Solar,TX,Pecos,BRLA,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,30.2,30.2,30.2,6,2015,,,,Y,,,,,,37.6,,Y,,,,
