Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
14354,PacifiCorp,58150,Black Cap Solar Plant,OR,Lake,1,OP,PV,Electric Utility,1,2.0,2.0,2.0,10,2012,,Y,,,,,,,,2.6,Y,,,,,
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,1,OP,PV,Commercial Non-CHP,4,0.5,0.5,0.5,12,2008,,,,Y,,,,,,0.6,Y,,,,,
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,2,OP,PV,Commercial Non-CHP,4,0.5,0.5,0.5,12,2008,,,,Y,,,,,,0.6,Y,,,,,
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,3,OP,PV,Commercial Non-CHP,4,0.5,0.5,0.5,12,2008,,,,Y,,,,,,0.6,Y,,,,,
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,4,OP,PV,Commercial Non-CHP,4,0.5,0.5,0.5,12,2008,,,,Y,,,,,,0.6,Y,,,,,
15248,Portland General Electric Co,57882,Baldock Solar Highway,OR,Clackamas,BSH1,OP,PV,Electric Utility,1,1.7,1.7,1.7,1,2012,,,,Y,,,,,,1.7,Y,,,,,
15399,Iberdrola Renewables Inc,57317,San Luis Valley Solar Ranch,CO,Alamosa,1,OP,PV,IPP Non-CHP,2,35.0,35.0,35.0,12,2011,,Y,,,,,,,,35.1,Y,,,,,
15399,Iberdrola Renewables Inc,57318,Copper Crossing Solar LLC,AZ,GILA,1,OP,PV,IPP Non-CHP,2,20.0,20.0,20.0,12,2011,,Y,,,,,,,,32.7,Y,,,,,
15473,Public Service Co of NM,58899,Prosperity Energy Storage Facility,NM,Bernalillo,GEN-1,OP,PV,Electric Utility,1,0.5,0.5,0.5,9,2011,,,,Y,,,,,,0.5,Y,,,,,
15477,Public Service Elec & Gas Co,57341,Silver Lake Solar Farm,NJ,Middlesex,SILV,OP,PV,Electric Utility,1,1.7,1.7,1.7,10,2010,,,,Y,,,,,,2,Y,,,,,
15477,Public Service Elec & Gas Co,57352,Trenton Solar Farm,NJ,Mercer,TREN,OP,PV,Electric Utility,1,1.0,1.0,1.0,10,2010,,,,Y,,,,,,1.3,Y,,,,,
15477,Public Service Elec & Gas Co,57381,Linden Solar Farm,NJ,Union,LIND,OP,PV,Electric Utility,1,2.7,2.7,2.7,12,2010,,,,Y,,,,,,3.2,Y,,,,,
15477,Public Service Elec & Gas Co,57382,Yardville Solar Farm,NJ,Mercer,YARD,OP,PV,Electric Utility,1,3.6,3.6,3.6,12,2010,,,,Y,,,,,,4.3,Y,,,,,
15477,Public Service Elec & Gas Co,57383,WEA Texas Bayonne,NJ,Hudson,BAYO,OP,PV,Electric Utility,1,1.5,1.5,1.5,12,2010,,,,Y,,,,,,1.7,Y,,,,,
15477,Public Service Elec & Gas Co,57384,Matrix Buildings A&B (Perth Amboy) Solar,NJ,Middlesex,MATR,OP,PV,Electric Utility,1,2.5,2.5,2.5,1,2011,,,,Y,,,,,,2.9,Y,,,,,
15477,Public Service Elec & Gas Co,57384,Matrix Buildings A&B (Perth Amboy) Solar,NJ,Middlesex,SWC1,OP,PV,Electric Utility,1,3.5,3.5,3.5,10,2012,,,,Y,,,,,,8.1,Y,,,,,
15477,Public Service Elec & Gas Co,57588,Matrix Stults Road Solar Facility,NJ,Middlesex,STULT,OP,PV,Electric Utility,1,2.6,2.6,2.6,6,2011,,,,Y,,,,,,3,Y,,,,,
15477,Public Service Elec & Gas Co,57724,NJMC Landfill,NJ,Hudson,NJMC,OP,PV,Electric Utility,1,2.5,2.5,2.5,12,2011,,,,Y,,,,,,3,Y,,,,,
15477,Public Service Elec & Gas Co,57726,Summit Associates,NJ,Middlesex,SUMA,OP,PV,Electric Utility,1,1.9,1.9,1.9,12,2011,,,,Y,,,,,,2.2,Y,,,,,
15477,Public Service Elec & Gas Co,57727,BlackRock-Matrix,NJ,Middlesex,BLAR,OP,PV,Electric Utility,1,2.5,2.5,2.5,3,2012,,,,Y,,,,,,3,Y,,,N,,
15477,Public Service Elec & Gas Co,57728,Mill Creek Solar,NJ,Burlington,MILLC,OP,PV,Electric Utility,1,3.5,3.5,3.5,12,2011,,,,Y,,,,,,3.8,N,,,Y,,
15500,Puget Sound Energy Inc,56322,Wild Horse,WA,Kittitas,WHS1,OP,PV,Electric Utility,1,0.5,0.5,0.5,10,2007,,,,Y,,,,,,0.5,Y,,,,,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,PV-3,OP,PV,Electric Utility,1,0.2,0.2,0.2,6,2001,,Y,,,,,,,,0.2,Y,,,,,
17573,South San Joaquin Irr District,57579,Robert O Schulz Solar Farm,CA,Stanislaus,1,OP,PV,Electric Utility,1,0.9,0.9,0.9,5,2008,,,Y,,,,,,,1.2,Y,,,,,
17573,South San Joaquin Irr District,57579,Robert O Schulz Solar Farm,CA,Stanislaus,2,OP,PV,Electric Utility,1,0.4,0.4,0.4,5,2009,,,Y,,,,,,,0.4,,Y,,,,
17609,Southern California Edison Co,56996,Solar Photovoltaic Project #02,CA,SAN BERNARDINO,S1A,OP,PV,Electric Utility,1,0.5,0.5,0.5,12,2009,,,,Y,,,,,,0.6,,Y,,,,
17609,Southern California Edison Co,56996,Solar Photovoltaic Project #02,CA,SAN BERNARDINO,S1B,OP,PV,Electric Utility,1,0.5,0.5,0.5,12,2009,,,,Y,,,,,,0.6,,Y,,,,
17609,Southern California Edison Co,57217,Solar Photovoltaic Project #03,CA,SAN BERNARDINO,S003A,OP,PV,Electric Utility,1,0.5,0.5,0.5,3,2011,,,,Y,,,,,,0.6,,Y,,,,
17609,Southern California Edison Co,57217,Solar Photovoltaic Project #03,CA,SAN BERNARDINO,S003B,OP,PV,Electric Utility,1,0.5,0.5,0.5,3,2011,,,,Y,,,,,,0.6,,Y,,,,
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,SAN BERNARDINO,S005A,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,SAN BERNARDINO,S005B,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,SAN BERNARDINO,S005C,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,SAN BERNARDINO,S005D,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,SAN BERNARDINO,S005E,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,SAN BERNARDINO,S006A,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,SAN BERNARDINO,S006B,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,SAN BERNARDINO,S006C,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,SAN BERNARDINO,S006D,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57221,Solar Photovoltaic Project #07,CA,SAN BERNARDINO,S007A,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57221,Solar Photovoltaic Project #07,CA,SAN BERNARDINO,S007B,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57221,Solar Photovoltaic Project #07,CA,SAN BERNARDINO,S007C,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57221,Solar Photovoltaic Project #07,CA,SAN BERNARDINO,S007D,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57221,Solar Photovoltaic Project #07,CA,SAN BERNARDINO,S007E,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57222,Solar Photovoltaic Project #08,CA,SAN BERNARDINO,S008A,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57222,Solar Photovoltaic Project #08,CA,SAN BERNARDINO,S008B,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57222,Solar Photovoltaic Project #08,CA,SAN BERNARDINO,S008C,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57222,Solar Photovoltaic Project #08,CA,SAN BERNARDINO,S008D,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57223,Solar Photovoltaic Project #09,CA,SAN BERNARDINO,S009A,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57223,Solar Photovoltaic Project #09,CA,SAN BERNARDINO,S009B,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57224,Solar Photovoltaic Project #10,CA,SAN BERNARDINO,S010A,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57224,Solar Photovoltaic Project #10,CA,SAN BERNARDINO,S010B,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57224,Solar Photovoltaic Project #10,CA,SAN BERNARDINO,S010C,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57226,Solar Photovoltaic Project #12,CA,SAN BERNARDINO,S012A,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57229,Solar Photovoltaic Project #15,CA,SAN BERNARDINO,S015A,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.6,,Y,,,,
17609,Southern California Edison Co,57229,Solar Photovoltaic Project #15,CA,SAN BERNARDINO,S015B,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.6,,Y,,,,
