Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
16572,Salt River Project,147,Kyrene,AZ,Maricopa,KY6,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.3,53,62,6,1973,NG,DFO,Y,N,,,,,,,Y,Y,53,62,53,62,1H,1H,Y,Y,Y,Y
12745,Modesto Irrigation District,151,McClure,CA,Stanislaus,1,OP,Petroleum Liquids,GT,Electric Utility,1,71.2,53.5,53.5,7,1980,DFO,NG,Y,Y,DFO,NG,,,,,Y,Y,53.5,53.5,53.5,53.5,1H,1H,Y,Y,Y,Y
12745,Modesto Irrigation District,151,McClure,CA,Stanislaus,2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,71.2,53.5,53.5,7,1981,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,53.5,53.5,53.5,53.5,1H,1H,Y,Y,Y,Y
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,Cochise,GT2,SB,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,20.4,18.5,20,6,1972,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,18.5,20,16,18,1H,1H,N,,,
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,Cochise,GT4,SB,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.5,38,44,10,2002,NG,DFO,Y,N,,,,,,,Y,Y,38,38,38,38,1H,1H,N,,,
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,Cochise,ST3,OP,Conventional Steam Coal,ST,Electric Utility,1,204.0,175,175,9,1979,SUB,NG,Y,Y,SUB,BIT,NG,,,,N,, , , , ,,,,,,
807,Arkansas Electric Coop Corp,201,Thomas Fitzhugh,AR,Franklin,1,OP,Natural Gas Fired Combined Cycle,CA,Electric Utility,1,59.0,61,62,5,1963,NG,DFO,Y,N,,,,,,,Y,Y,61,61,41,62,1H,1H,Y,Y,,
807,Arkansas Electric Coop Corp,201,Thomas Fitzhugh,AR,Franklin,2,OP,Natural Gas Fired Combined Cycle,CT,Electric Utility,1,126.0,101,110,12,2002,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,101,101,101,110,1H,1H,Y,Y,,
807,Arkansas Electric Coop Corp,202,Carl Bailey,AR,Woodruff,1,OS,Natural Gas Steam Turbine,ST,Electric Utility,1,120.0,122,122,7,1966,NG,RFO,Y,Y,NG,RFO,,,,,Y,Y,122,122,110,110,1H,1H,Y,Y,,
807,Arkansas Electric Coop Corp,203,McClellan (AR),AR,Ouachita,1,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,136.0,134,134,5,1972,NG,RFO,Y,Y,NG,RFO,,,,,Y,Y,134,134,134,134,1H,1H,Y,Y,,
