Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
695,City of Ansley - (NE),2214,Ansley,NE,Custer,2,OP,IC,Electric Utility,1,0.9,0.8,0.8,NG,DFO,Y,NG,DFO,,,,,Y,Y,0.8,0.8,0.8,0.8,1H,1H,Y,Y,,
701,City of Anthony - (KS),1258,Anthony,KS,Harper,IC1,OP,IC,Electric Utility,1,4.1,4.1,4.1,NG,DFO,Y,DFO,NG,,,,,Y,Y,4.1, ,4.1, ,1H,1H,N,,,
701,City of Anthony - (KS),1258,Anthony,KS,Harper,IC2,OP,IC,Electric Utility,1,3.0,3,3,NG,DFO,Y,DFO,NG,,,,,Y,Y,3, ,3, ,1H,1H,N,,,
701,City of Anthony - (KS),1258,Anthony,KS,Harper,IC3,OP,IC,Electric Utility,1,4.0,4,4,NG,DFO,Y,DFO,NG,,,,,Y,Y,4, ,4, ,1H,1H,N,,,
765,City of Arcadia - (WI),4100,Arcadia Electric,WI,Trempealeau,5,OP,IC,Electric Utility,1,3.0,3,3,NG,DFO,N,,,,,,,Y,Y,2.7, ,3,3,1H,6H,Y,,,Y
765,City of Arcadia - (WI),4100,Arcadia Electric,WI,Trempealeau,6,OP,IC,Electric Utility,1,3.0,3,3,NG,DFO,N,,,,,,,Y,Y,2.6, ,3, ,1H,6H,Y,,,Y
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,IA,Clinton,1A,OP,ST,Industrial CHP,7,75.0,75,75,SUB,BIT,Y,SUB,BIT,WDS,TDF,OBS,PC,N,, , , , ,,,,,,
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,IA,Clinton,2A,OP,ST,Industrial CHP,7,105.0,105,105,SUB,BIT,Y,SUB,BIT,WDS,TDF,OBS,PC,N,, , , , ,,,,,,
772,Archer Daniels Midland Co,54316,Archer Daniels Midland Southport,NC,Brunswick,GEN1,SB,GT,Industrial CHP,7,18.0,15,18,NG,DFO,N,,,,,,,Y,Y,12,15,12,15,1H,1H,Y,Y,Y,Y
772,Archer Daniels Midland Co,54316,Archer Daniels Midland Southport,NC,Brunswick,GEN2,SB,GT,Industrial CHP,7,17.5,15,17.5,NG,DFO,N,,,,,,,Y,Y,12,15,12,15,1H,1H,Y,Y,Y,Y
772,Archer Daniels Midland Co,54316,Archer Daniels Midland Southport,NC,Brunswick,GEN3,SB,GT,Industrial CHP,7,17.0,15,17,NG,DFO,N,,,,,,,Y,Y,12,15,12,15,1H,1H,Y,Y,Y,Y
772,Archer Daniels Midland Co,57046,Archer Daniels Midland Columbus,NE,PLATTE,GEN1,OP,ST,Industrial CHP,7,71.4,61,61,SUB,BIT,Y,SUB,BIT,TDF,AB,WDS,OBS,N,, , , , ,,,,,,
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,Cochise,GT2,SB,GT,Electric Utility,1,20.4,18.5,20,NG,DFO,Y,NG,DFO,,,,,Y,Y,18.5,20,16,18,1H,1H,N,,,
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,Cochise,GT4,SB,GT,Electric Utility,1,60.5,38,44,NG,DFO,N,,,,,,,Y,Y,38,38,38,38,1H,1H,N,,,
803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,GT1,OP,GT,Electric Utility,1,53.1,50,62,NG,DFO,Y,NG,DFO,,,,,Y,N,50, ,50, ,UNK,UNK,N,,,
803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,GT2,OP,GT,Electric Utility,1,53.1,50,62,NG,DFO,Y,NG,DFO,,,,,Y,N,50, ,50, ,UNK,UNK,N,,,
