Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Year,Technology,DC Net Capacity (MW),East West Fixed Tilt?,Tilt Angle,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),Azimuth Angle,Bifacial?
62719,Green Street Power Partners,63373,Saratoga Solar LLC,NY,Saratoga,SARAT,OP,PV,IPP Non-CHP,2,5.0,5.0,5,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.3,,30,N, ,N, ,0,
62856,"Forefront Power, LLC",63405,Pearl II,NY,Genesee,29,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62923,Solar Planet Power,63407,Macedon,NY,Wayne,101,OP,PV,IPP Non-CHP,2,2.0,2.0,2,2,2019,,Y,,,,,,,,,,,,,,Y,2020,Solar Photovoltaic,2.9,,55,N, ,N, ,0,
62923,Solar Planet Power,63408,Whittier,NY,Monroe,300,OP,PV,IPP Non-CHP,2,2.0,2.0,2,3,2019,,Y,,,,,,,,,,,,,,Y,2020,Solar Photovoltaic,2.6,,55,N, ,N, ,0,
62923,Solar Planet Power,63409,Williamson,NY,Wayne,100,OP,PV,IPP Non-CHP,2,2.0,2.0,2,3,2019,,Y,,,,,,,,,,,,,,Y,2020,Solar Photovoltaic,2.8,,55,N, ,N, ,0,
62923,Solar Planet Power,63410,Bennett,NY,Ontario,304,OP,PV,IPP Non-CHP,2,1.4,1.4,1.4,3,2019,,Y,,,,,,,,,,,,,,Y,2020,Solar Photovoltaic,2,,55,N, ,N, ,0,
61012,AES Distributed Energy,63411,"Greenwich Solar 1, LLC CSG",NY,Washington,RTE40,OP,PV,IPP Non-CHP,2,5.0,5.0,5,12,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,7.3,,25,N, ,Y,7.3,1,
61012,AES Distributed Energy,63415,"Middletown Solar 1, LLC Hybrid CSG",NY,Orange,CENTR,OP,PV,IPP Non-CHP,2,1.6,1.6,1.6,12,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3.2,,26,N, ,Y,3.2,16,
58871,Citizens Enterprises Corporation,63450,Chenango Solar,NY,Broome,PV1,OP,PV,IPP Non-CHP,2,4.9,4.9,4.9,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.1,,20,N, ,Y,6.1,180,
63970,"CVI Renewables Holdings, LLC.",63497,Calabro Airport North Solar Project,NY,Suffolk,NORTH,OP,PV,IPP Non-CHP,2,1.3,1.3,1.3,12,2019,,,,Y,N,,N,,,,Y,,,,,,2020,Solar Photovoltaic,1.8,,25,N, ,N, ,180,
63970,"CVI Renewables Holdings, LLC.",63498,Calabro Airport South Solar Project,NY,Suffolk,SOUTH,OP,PV,IPP Non-CHP,2,1.2,1.2,1.2,12,2019,,,,Y,,,N,,,,Y,,,,,,2020,Solar Photovoltaic,1.7,,20,N, ,N, ,180,
60947,Tesla Inc.,63511,Mohonasen Central School District,NY,Schenectady,PV1,OP,PV,IPP Non-CHP,2,1.1,1.1,1.1,9,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,1.5,,25,Y,1.5,N, ,180,
63394,"MSAP 13, LLC",63675,MSAP 13,NY,Rensselaer,TROYL,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.1,,30,Y,2,N, ,180,
63442,Mount Hope Solar 2 LLC,63748,Mount Hope West,NY,Orange,MHW,OP,PV,IPP Non-CHP,2,1.9,1.9,1.9,4,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.7,,80,N, ,N, ,180,
