Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Cofire Fuels?,Switch Between Oil and Natural Gas?,Year,Technology,Turbines or Hydrokinetic Buoys,Multiple Fuels?
2598,Burrows Paper Corp,50652.0,Lyonsdale Associates,NY,Lewis,GEN1,HY,,W,N,N,,,1.5,0.9,1.5,1.5,0.1,N, , ,OP,,7,1984, , ,N,IPP Non-CHP,2,,WAT,,,,,,,,,,N,,1,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
2598,Burrows Paper Corp,50652.0,Lyonsdale Associates,NY,Lewis,GEN2,HY,,W,N,N,,,1.5,0.9,1.5,1.5,0.1,N, , ,OP,,7,1984, , ,N,IPP Non-CHP,2,,WAT,,,,,,,,,,N,,1,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
3085,Carthage Energy LLC,10620.0,Carthage Energy LLC,NY,Jefferson,GEN1,CT,CC1,S,N,N,23857,23857,40.9,0.95,38.2,44.7,25,N, , ,SB,Y,11,1991, , ,N,IPP Non-CHP,2,,NG,DFO,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,N, , ,Y,Y,2013,,,
3085,Carthage Energy LLC,10620.0,Carthage Energy LLC,NY,Jefferson,GEN2,CA,CC1,S,Y,N,23857,23857,22.0,0.95,21,21.5,10,N, , ,SB,Y,11,1991, , ,N,IPP Non-CHP,2,,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,2013,,,
3249,Central Hudson Gas & Elec Corp,579.0,Central Hudson High Falls,NY,ULSTER,1,HY,,S,N,N,23754,23754,3.2,0.89,3.2,3.2,0.2,N, , ,OP,,12,1986, , ,N,Electric Utility,1,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
3249,Central Hudson Gas & Elec Corp,2481.0,Dashville,NY,Ulster,1,HY,,S,N,N,23610,23610,2.4,0.8,2.4,2.4,0.3,N, , ,OP,,1,1920, , ,N,Electric Utility,1,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
3249,Central Hudson Gas & Elec Corp,2481.0,Dashville,NY,Ulster,2,HY,,S,N,N,,,2.4,0.8,2.4,2.4,0.3,N, , ,OP,,1,1920, , ,N,Electric Utility,1,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
3249,Central Hudson Gas & Elec Corp,2485.0,South Cairo,NY,Greene,GT1,GT,,S,N,N,23612,23612,21.6,0.86,21.3,21.3,2,N, , ,OP,,6,1970, , ,N,Electric Utility,1,,KER,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
3249,Central Hudson Gas & Elec Corp,2486.0,Sturgeon,NY,Ulster,H1,HY,,S,N,N,23609,23609,4.8,0.8,4.8,4.8,4,N, , ,OP,,1,1924, , ,N,Electric Utility,1,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
3249,Central Hudson Gas & Elec Corp,2486.0,Sturgeon,NY,Ulster,H2,HY,,S,N,N,,,4.8,0.8,4.8,4.8,4,N, , ,OP,,1,1924, , ,N,Electric Utility,1,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
