Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,Year,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
66357,Shapham Place Solar Project 2020 LLC,67745,White Plains RFP Shapham Place,NY,Westchester,4075B,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,5,2022,2,0.5,0.5,LIB,,,,1,CS,,PR,,,Y,,,,,,,2023,Y,,,,Y,67745,4075, ,, ,,N
66445,"NineDot Holdings, LLC",67886,Gunther,NY,Bronx,ND001,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,9,2023,6.2,1.5,1.5,NIB,,,,1.3,CT,Y,,,,,Y,PR,,,,,2023,,,,,N, ,, ,, ,,Y
66445,"NineDot Holdings, LLC",67886,Gunther,NY,Bronx,ND002,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,9,2023,6.2,1.5,1.5,NIB,,,,1.3,CT,Y,,,,,Y,PR,,,,,2023,,,,Y,N, ,, ,, ,,Y
61978,Convergent Energy and Power LP,57710,Stephentown Spindle,NY,Rensselaer,SRS1,OP,Flywheels,FW,IPP Non-CHP,2,20.0,20.0,20.0,1,2011,15,20,20,,,,,6.4,CS,,Y,,,,,,,,,,2024,,,,,, ,, ,, ,,
61364,Lockheed Martin RMS Syracuse,61739,Lockheed Martin RMS Syracuse,NY,Onondaga,SYR1,OS,Batteries,BA,Industrial Non-CHP,6,1.0,1.0,1.0,8,2017,1.3,1,1,LIB,,,,1,CS,Y,,,,,,PR,Y,,,,2024,,,,,N, ,, ,, ,,N
61687,"KCE NY 1, LLC",62147,KCE NY 1,NY,Saratoga,KNY1,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,3,2019,8.4,20,20,LIB,,,,6.5,CS,,PR,,,,,,,,,,2024,,,,,N, ,, ,, ,,N
62652,"East Hampton Energy Storage Center, LLC",62733,East Hampton Energy Storage Center,NY,Suffolk,BEH,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,8,2018,40,5,5,LIB,,,,5,BL,Y,,,Y,,,Y,PR,Y,,,2024,,,,,N, ,, ,, ,,N
62651,"Montauk Energy Storage Center, LLC",62734,Montauk Energy Storage Center,NY,Suffolk,BME,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,2,2019,40,5,5,LIB,,,,0.7,BL,,,,,,,Y,PR,,,,2024,,,,,N, ,, ,, ,,N
4226,Consolidated Edison Co-NY Inc,62839,98th Street Battery Storage Station,NY,Queens,ESS98,OP,Batteries,BA,Electric Utility,1,2.0,1.5,1.5,6,2021,12,1,1.5,LIB,,,,1.5,CS,,,,,,,PR,,,,,2024,,,,,N, ,, ,, ,,Y
56404,National Grid,62981,East Pulaski BESS,NY,Oswego,BESS,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,12,2018,4.2,2,2,LIB,,,,0.6,CS,,,Y,,,Y,PR,,,,,2024,,,,,N, ,, ,, ,,Y
