Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Year,Steam Plant Type
9097,Huntington Resource Recovery,50656.0,Huntington Resource Recovery Facility,NY,UNIT2,OP,N,,, , ,, , ,,, ,,,,,,,ST,185,NM,TH,1991,SN,,,SN,,,, ,,, ,ST,1991,ACI,,,ACI,,,2013,
9097,Huntington Resource Recovery,50656.0,Huntington Resource Recovery Facility,NY,UNIT3,OP,N,,, , ,, , ,,, ,,,,,,,ST,185,NM,TH,1991,SN,,,SN,,,, ,,, ,ST,1991,ACI,,,ACI,,,2013,
9243,Indeck-Yerkes Ltd Partnership,50451.0,Indeck Yerkes Energy Center,NY,HRSG1,OP,N,,, , ,, , ,,, ,,,,,,,FD,42,NM,OH,1989,STM,,,,,,, ,,, ,FD,1989,,,,,,,2013,
9244,Indeck-Oswego Ltd Partnership,50450.0,Indeck Oswego Energy Center,NY,HRSG1,OP,N,,, , ,, , ,,, ,,,,,,,FD,42,NM,OH,1990,STM,,,,,,, ,,, ,FD,1990,,,,,,,2013,
9245,Indeck-Energy Serv Silver Spg,50449.0,Indeck Silver Springs Energy Center,NY,HRSG1,OP,N,,, , ,, , ,,, ,,,,,,,FD,32,NM,OH,1991,STM,,,,,,, ,,, ,FD,1991,,,,,,,2013,
9261,Indeck-Olean Ltd Partnership,54076.0,Indeck Olean Energy Center,NY,HRSG1,OP,N,,, , ,FD, , ,,, ,,,,,,,ST,9,NM,OH,1994,SR,STM,,SR,STM,,ST,0.004,PB,, ,,1994,,,,,,,2013,
9263,Indeck-Corinth Ltd Partnership,50458.0,Indeck Corinth Energy Center,NY,HRSG1,OP,N,,, , ,, , ,,, ,,,,,,,ST,9,NM,OH,1995,LN,SR,H20,MS,,,, ,,, ,FD,1995,,,,,,,2013,
9350,IPC-Ticonderoga,54099.0,Ticonderoga Mill,NY,PB1,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
9350,IPC-Ticonderoga,54099.0,Ticonderoga Mill,NY,RB1,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
9645,Jamestown Board of Public Util,2682.0,S A Carlson,NY,10,OP,D,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
