Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?,Year,Technology,Multiple Fuels?,Operating Month,Operating Year
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,GT1,OP,GT,Electric Utility,1,18.0,17.4,20.5,NG,DFO,N,,,,,,,Y,Y,17.4,20.5,17.4,20.5,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1970.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,GT2,OP,GT,Electric Utility,1,18.0,17.6,20.4,NG,DFO,N,,,,,,,Y,Y,17.6,20.4,17.6,20.4,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1970.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,ST1,OP,ST,Electric Utility,1,188.0,194.2,199.5,NG,RFO,Y,NG,RFO,,,,,Y,Y,194.2,199.5,194.2,199.5,6H,6H,Y,Y,,,2024,Natural Gas Steam Turbine,Y,11.0,1956.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,ST2,OP,ST,Electric Utility,1,188.0,178,190.5,NG,RFO,Y,NG,RFO,,,,,Y,Y,178,190.5,178,190.5,6H,6H,Y,Y,,,2024,Natural Gas Steam Turbine,Y,10.0,1963.0
56505,National Grid Generation LLC,2516,Northport,NY,Suffolk,2,OP,ST,Electric Utility,1,387.0,398,399,NG,RFO,Y,NG,RFO,,,,,Y,Y,398,399,398,399,6H,6H,N,,,,2024,Natural Gas Steam Turbine,Y,6.0,1968.0
56505,National Grid Generation LLC,2516,Northport,NY,Suffolk,3,OP,ST,Electric Utility,1,387.0,398.5,394.2,NG,RFO,Y,NG,RFO,,,,,Y,Y,398.5,394.2,398.5,394.2,6H,6H,N,,,,2024,Natural Gas Steam Turbine,Y,7.0,1972.0
56505,National Grid Generation LLC,2516,Northport,NY,Suffolk,4,OP,ST,Electric Utility,1,387.0,398,396.5,NG,RFO,Y,NG,RFO,,,,,Y,Y,398,396.5,398,396.5,6H,6H,N,,,,2024,Natural Gas Steam Turbine,Y,12.0,1977.0
56505,National Grid Generation LLC,2516,Northport,NY,Suffolk,ST1,OP,ST,Electric Utility,1,387.0,397.7,396.2,NG,RFO,Y,NG,RFO,,,,,Y,Y,397.7,396.2,397.7,396.2,6H,6H,N,,,,2024,Natural Gas Steam Turbine,Y,7.0,1967.0
56505,National Grid Generation LLC,2517,Port Jefferson,NY,Suffolk,3,OP,ST,Electric Utility,1,188.0,192,189.2,NG,RFO,Y,NG,RFO,,,,,Y,Y,192,189.2,192,189.2,6H,6H,N,,,,2024,Natural Gas Steam Turbine,Y,11.0,1958.0
56505,National Grid Generation LLC,2517,Port Jefferson,NY,Suffolk,4,OP,ST,Electric Utility,1,188.0,193,194.7,NG,RFO,Y,NG,RFO,,,,,Y,Y,193,194.7,193,194.7,6H,6H,N,,,,2024,Natural Gas Steam Turbine,Y,11.0,1960.0
56505,National Grid Generation LLC,2517,Port Jefferson,NY,Suffolk,GT2,OP,GT,Electric Utility,1,53.0,42.6,46.7,NG,DFO,N,,,,,,,Y,N,42.6,46.7,42.6,46.7,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,2002.0
56505,National Grid Generation LLC,2517,Port Jefferson,NY,Suffolk,GT3,OP,GT,Electric Utility,1,53.0,40.1,47.1,NG,DFO,N,,,,,,,Y,N,40.1,47.1,40.1,47.1,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,2002.0
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,Yates,4,OP,ST,IPP Non-CHP,2,112.0,104.5,106.3,NG,WDS,Y,NG,WDS,,,,,N,, , , , ,,,,,,,2024,Natural Gas Steam Turbine,Y,12.0,1953.0
65417,GB II New York LLC,2539,Bethlehem Energy Center,NY,Albany,5,OP,CT,IPP Non-CHP,2,194.3,178.4,205.8,NG,KER,N,,,,,,,Y,Y,176,207,176,207,UNK,UNK,N,,,,2024,Natural Gas Fired Combined Cycle,Y,7.0,2005.0
65417,GB II New York LLC,2539,Bethlehem Energy Center,NY,Albany,6,OP,CT,IPP Non-CHP,2,194.3,179.7,205.8,NG,RFO,N,,,,,,,Y,Y,176,207,176,207,UNK,UNK,N,,,,2024,Natural Gas Fired Combined Cycle,N,7.0,2005.0
65417,GB II New York LLC,2539,Bethlehem Energy Center,NY,Albany,7,OP,CT,IPP Non-CHP,2,194.3,177.9,205.8,NG,,N,,,,,,,Y,Y,176,207,176,207,UNK,UNK,N,,,,2024,Natural Gas Fired Combined Cycle,Y,7.0,2005.0
