Utility ID,Utility Name,Street Address,City,State,Zip,Owner?,Operator?,Asset Manager?,Other Reltionships with Plants Reported on Form?,Entity Type,Year,Other Relationships with Plants Reported on Form?,Owner of Plants Reported on Form?,Operator of Plants Reported on Form?,Asset Manager of Plants Reported on Form?
65432,CVI CleanCapital Solar 1 LLC,"650 Fifth Avenue, 17th Floor",New York,NY,10019,,,,,Q,2023,,Y,Y,
65446,"Ruler Solar Partners, LLC",220 Park Avenue S,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65447,"Royal Solar Partners, LLC",228 Park Avenue S,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65518,"ELP Claverack Solar, LLC","200 Liberty Street, 14 Floor",New York,NY,10281,,,,,Q,2023,,Y,,
65519,"ELP Livingston Solar, LLC","200 Liberty Street, 14 Floor",New York,NY,10281,,,,,Q,2023,,Y,,
65544,"NE Renewable Whitefield, LLC",1185 Avenue of the Americas,New York City,NY,10036,,,,,Q,2023,,Y,,
65545,"NE Renewable Fitchburg, LLC",1185 Avenue of the Americas,New York City,NY,10036,,,,,I,2023,,,Y,
65546,"NE Renewable Springfield, LLC",1185 Avenue of the Americas,New York City,NY,10036,,,,,Q,2023,,Y,,
65547,"NE Renewable Tamworth, LLC",1185 Avenue of the Americas,New York City,NY,10036,,,,,Q,2023,,,Y,
65548,"NE Renewable Bethlehem, LLC",1185 Avenue of the Americas,New York City,NY,10036,,,,,Q,2023,,,Y,
65552,Terra-Gen Operating Co-BESS 2,"437 Madison Avenue, 22nd Floor",New York,NY,10022,,,,,Q,2023,,Y,Y,Y
65584,"Solar DG MD Holabird Broening ACC, LLC","200 Liberty Street, 14 Floor",New York,NY,10281,,,,,Q,2023,,Y,,
65585,"Solar DG MD Holabird AJCFB, LLC","200 Liberty Street, 14 Floor",New York,NY,10281,,,,,Q,2023,,Y,,
65626,"San Juan Solar I, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
