Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Steam Plant Type
189,PowerSouth Energy Cooperative,56.0,Charles R Lowman,AL,1,OP,N,N,, , ,ST,4,0,DP,DA,1975,WA,,,WA,,,FD,0.46,NP,YR,1999,LN,,,LN,,,ST,0.12,PB,PS,1975,ST,2016,OT,,,JB,,,1.0
189,PowerSouth Energy Cooperative,56.0,Charles R Lowman,AL,2,OP,D,N,, , ,FD,1.2,0,DP,TH,1979,WA,IF,,WA,IF,,FD,0.7,NP,TH,1979,SR,,,SR,,,FD,0.1,PB,PS,1979,ST,2016,OT,,,JB,,,1.0
189,PowerSouth Energy Cooperative,56.0,Charles R Lowman,AL,3,OP,D,N,, , ,FD,1.2,0,DP,TH,1980,WA,IF,,WA,IF,,FD,0.7,NP,TH,1980,SR,,,SR,,,FD,0.1,PB,PS,1980,ST,2016,SP,,,SP,,,1.0
40606,City of Grand Island - (NE),59.0,Platte,NE,1,OP,D,N,, , ,ST,1.2,0.75,DP,TH,1982,OT,,,OT,,,ST,0.6,NP,YR,1982,LN,,,LN,,,ST,20,OP,SM,1982,ST,1982,EW,,,BP,ACI,EW,1.0
8245,City of Hastings - (NE),60.0,Whelan Energy Center,NE,1,OP,N,N,, , ,ST,1.1,0,DP,OH,1981,ND,,,ND,,,ST,0.4,NP,YR,1981,LN,OV,,,,,ST,41.8,PH,TH,1981,FD,2016,,,,ACI,,,1.0
8245,City of Hastings - (NE),60.0,Whelan Energy Center,NE,2,OP,Db,N,, , ,ST,0.12,0.9,DP,MO,2011,CF,,,NC,,,ST,0.08,NP,MO,2011,OV,LN,NH3,,,,FD,0.018,PB,TH,2011,FD,2015,ACI,BP,CD,,,,1.0
986,Aurora Energy LLC,79.0,Aurora Energy LLC Chena,AK,1,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,FD,2014,OT,BP,,OT,BP,,2.0
986,Aurora Energy LLC,79.0,Aurora Energy LLC Chena,AK,2,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,FD,2014,OT,BP,,OT,BP,,2.0
986,Aurora Energy LLC,79.0,Aurora Energy LLC Chena,AK,3,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,FD,2014,OT,BP,,OT,BP,,2.0
986,Aurora Energy LLC,79.0,Aurora Energy LLC Chena,AK,5,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,FD,2014,OT,BP,,OT,BP,,2.0
30151,"Tri-State G & T Assn, Inc",87.0,Escalante,NM,1,OP,Da,N,, , ,FD,0.2,0.9,DM,MO,1985,NC,,,NC,,,FD,0.45,OT,MO,1985,LN,,,LN,,,ST,0.02,PB,OH,1985,FD,2015,BR,SP,,BR,SP,ACI,1.0
3522,Chugach Electric Assn Inc,96.0,Beluga,AK,8,RE,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,4.0
18315,Sunflower Electric Power Corp,108.0,Holcomb,KS,SGU1,OP,Da,N,, , ,ST,0.48,0.7,DP,MO,1983,NC,,,NC,,,FD,0.22,NP,YR,1983,LN,OV,,NC,,,ST,0.03,PB,NV,1983,FD,2016,BR,SD,,ACI,,,1.0
803,Arizona Public Service Co,113.0,Cholla,AZ,1,OP,N,N,, , ,FD,0.2,0.8,SB,MO,2016,ND,,,ND,,,FD,0.4,NP,YR,1997,OV,LN,,,,,FD,0.03,PB,YR,2016,FD,2016,BP,,,ACI,,,1.0
803,Arizona Public Service Co,113.0,Cholla,AZ,2,RE,D,N,, , ,FD,0.15,0.95,DC,MO,2016,ND,,,ND,,,FD,0.055,NP,MO,2017,OV,,,ND,,,ST,0.015,OP,YR,2016,FD,2016,,,,ND,,,1.0
803,Arizona Public Service Co,113.0,Cholla,AZ,3,OP,D,N,, , ,FD,0.15,0.95,DP,MO,2013,ND,,,ND,,,FD,0.055,NP,MO,2017,OV,,,ND,,,FD,0.015,PB,YR,2013,FD,2016,BP,,,ACI,,,1.0
803,Arizona Public Service Co,113.0,Cholla,AZ,4,OP,D,N,, , ,FD,0.15,0.95,SB,MO,2013,ND,,,ND,,,FD,0.055,NP,MO,2017,AA,OV,LN,ND,,,FD,0.015,PB,YR,2013,FD,2016,BP,,,ACI,,,1.0
803,Arizona Public Service Co,116.0,Ocotillo,AZ,1,OP,N,N,, , ,LO,0.0006, ,DP,WO,1979,NC,,,NC,,,, ,,, ,,,,,,,LO,239,PH,OH,1979,, ,,,,,,,1.0
803,Arizona Public Service Co,116.0,Ocotillo,AZ,2,OP,N,N,, , ,LO,0.0006, ,DP,WO,1979,NC,,,NC,,,, ,,, ,,,,,,,LO,239,PH,OH,1979,, ,,,,,,,1.0
803,Arizona Public Service Co,117.0,West Phoenix,AZ,1B,OP,N,,, , ,, , ,,, ,NC,,,NC,,,, ,,, ,NC,,,NC,,,, ,,, ,, ,,,,,,,1.0
803,Arizona Public Service Co,117.0,West Phoenix,AZ,2B,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,1.0
803,Arizona Public Service Co,117.0,West Phoenix,AZ,3B,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,1.0
803,Arizona Public Service Co,117.0,West Phoenix,AZ,CC4,OP,Dc,Y,V95-006,6,2007,, , ,,, ,,,,,,,LO,0.2,NP,TH,2001,LN,,,NC,,,LO,17.4,PH,TH,2001,, ,,,,,,,1.0
803,Arizona Public Service Co,117.0,West Phoenix,AZ,CC5A,OP,Db,Y,V95-006,6,2007,, , ,,, ,,,,,,,LO,0.2,NP,TH,2003,SR,NH3,,NH3,,,LO,69,PH,OH,2003,, ,,,,,,,1.0
803,Arizona Public Service Co,117.0,West Phoenix,AZ,CC5B,OP,Db,Y,V95-006,6,2007,, , ,,, ,,,,,,,LO,0.2,NP,TH,2003,SR,NH3,,NH3,,,LO,69,PH,OH,2003,, ,,,,,,,1.0
803,Arizona Public Service Co,118.0,Saguaro,AZ,1,RE,N,N,, , ,LO, , ,DP,WO,1979,,,,,,,, ,,, ,,,,,,,LO,257,PH,OH,1979,, ,,,,,,,4.0
803,Arizona Public Service Co,118.0,Saguaro,AZ,2,RE,N,N,, , ,LO, , ,DP,WO,1979,NC,,,NC,,,, ,,, ,NC,,,NC,,,LO,241,PH,OH,1979,, ,,,,,,,4.0
803,Arizona Public Service Co,120.0,Yucca,AZ,1,OP,N,,, , ,ST, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2.0
24211,Tucson Electric Power Co,126.0,H Wilson Sundt Generating Station,AZ,1,OP,N,N,, , ,LO,1,0,DP,TH,1958,NC,,,NC,,,, ,,, ,,,,,,,LO,174,PH,NS,1958,, ,,,,,,,1.0
24211,Tucson Electric Power Co,126.0,H Wilson Sundt Generating Station,AZ,2,OP,N,N,, , ,LO,1,0,DP,TH,1960,NC,,,NC,,,, ,,, ,,,,,,,LO,174,PH,NS,1960,, ,,,,,,,1.0
24211,Tucson Electric Power Co,126.0,H Wilson Sundt Generating Station,AZ,3,OP,N,N,, , ,LO,1,0,DP,TH,1962,NC,,,NC,,,, ,,, ,,,,,,,LO,214,PH,NS,1962,, ,,,,,,,1.0
24211,Tucson Electric Power Co,126.0,H Wilson Sundt Generating Station,AZ,4,OP,N,N,, , ,LO,1,0,DP,TH,1988,NC,,,NC,,,LO,0.7,NP,TH,1988,LN,MS,NC,NC,,,LO,20,OP,SM,1988,LO,2016,ND,,,OT,,,1.0
15474,Public Service Co of Oklahoma,127.0,Oklaunion,TX,1,OP,Da,Y,9015,2,2012,FD,0.2,0.7,SB,TH,1986,NC,,,NC,,,ST,0.5,NP,MO,2016,NC,,,NC,,,ST,0.03,PB,NV,1986,FD,2015,ACI,,,ACI,,,1.0
17543,South Carolina Public Service Authority,130.0,Cross,SC,1,OP,Da,Y,TV-0420-0030,1,2007,FD,0.15,0.95,DP,YR,2004,NC,,,NC,,,FD,0.1,NP,MO,2004,SR,,,SR,,,FD,0.03,PB,PS,1995,FD,2016,EK,SP,OT,,,,1.0
17543,South Carolina Public Service Authority,130.0,Cross,SC,2,OP,Da,Y,TV-0420-0030,1,2007,FD,0.26,0.87,DP,YR,2008,NC,,,NC,,,FD,0.1,NP,MO,2007,SR,,,SR,,,FD,0.03,PB,PS,2004,FD,2016,EK,SP,OT,,,,1.0
