Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3
195,Alabama Power Co,7721,Theodore Cogen Facility,AL,HRSG,OP,Dc,Y,503-8073,3,2011,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
261,AGC Division of APG Inc,6705,Warrick,IN,1,OP,Db,N,, , ,ST, ,1,DP,DA,1989,IF,,,IF,,,ST,0.38,NP,DA,2013,SN,LN,OV,SN,LN,OV,ST,0.03,PB,DA,2008,, ,SP,,,SP,,
261,AGC Division of APG Inc,6705,Warrick,IN,2,OP,Db,N,, , ,ST, ,1,DP,DA,1989,IF,,,IF,,,ST,0.38,NP,DA,2013,SN,LN,OV,SN,LN,OV,ST,0.03,PB,DA,2008,, ,SP,,,SP,,
261,AGC Division of APG Inc,6705,Warrick,IN,3,OP,Db,N,, , ,ST, ,1,DP,DA,1989,IF,,,IF,,,ST,0.38,NP,DA,2013,SN,LN,OV,SN,LN,OV,ST,0.03,PB,DA,2008,, ,SP,,,SP,,
261,AGC Division of APG Inc,6705,Warrick,IN,4,OP,N,N,, , ,ST,181.2, ,OT,DA,1991,IF,,,IF,,,ST,0.59,NP,NS,1998,SR,LN,,SR,LN,,ST,0.1,PB,PS,2013,ST,2015,SP,,,SP,,
298,City of Alexandria - (LA),6558,D G Hunter,LA,3,SB,N,N,, , ,ST,0.6, ,SU,YR,1965,NC,,,NC,,,ST,0.7,OT,YR,1965,NC,,,NC,,,ST,0.7,PH,YR,1965,, ,,,,,,
298,City of Alexandria - (LA),6558,D G Hunter,LA,4,SB,N,N,, , ,ST,0.6, ,SU,YR,1974,NC,,,NC,,,ST,0.7,OT,YR,1974,NC,,,NC,,,ST,0.7,PH,YR,1974,, ,,,,,,
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,IN,1A,OP,Da,Y,029-30034-00033,5,2011,ST,12.7, ,DH,OH,2004,NC,,,NC,,,ST,24.41,NH,TH,2004,SR,,,SR,,,ST,24.1,PH,OH,2004,, ,,,,,,
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,IN,1B,OP,Da,N,, , ,ST, , ,DH,MO,2006,NC,,,NC,,,ST, ,NH,TH,2006,NC,,,NC,,,ST,24.1,PH,PS,2006,, ,,,,,,
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,IN,2A,OP,Da,N,, , ,ST, , ,DH,MO,2006,NC,,,NC,,,ST, ,NH,TH,2006,NC,,,NC,,,ST,24.1,PH,PS,2006,, ,,,,,,
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,IN,2B,OP,Da,N,, , ,ST, , ,DH,MO,2006,NC,,,NC,,,ST, ,NH,TH,2006,NC,,,NC,,,ST,24.1,PH,PS,2006,, ,,,,,,
450,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,ID,SB1,OP,N,,, , ,, , ,,, ,,,,,,,FD,0.7,NP,OH,1974,NC,,,NC,,,, ,,, ,FD,1974,BP,,,BP,,
450,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,ID,SB2,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,FD,1946,BP,,,BP,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,BLR1,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,BLR2,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,BLR3,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,BLR4,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,BLR5,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
473,Covanta Hempstead Company,10642,Covanta Hempstead,NY,1,OP,N,,, , ,, , ,,, ,,,,,,,ST,145.7,NH,OH,2004,SN,LA,,SN,LA,,, ,,, ,ST,2007,BR,,,BR,,
473,Covanta Hempstead Company,10642,Covanta Hempstead,NY,2,OP,N,,, , ,, , ,,, ,,,,,,,ST,145.7,NH,OH,2004,SN,LA,,SN,LA,,, ,,, ,ST,2007,BR,,,BR,,
473,Covanta Hempstead Company,10642,Covanta Hempstead,NY,3,OP,N,,, , ,, , ,,, ,,,,,,,ST,145.7,NH,OH,2004,SN,,,SN,,,, ,,, ,ST,2007,BR,,,BR,,
491,American Crystal Sugar Co,54210,American Crystal Sugar Hillsboro,ND,EUI1,OP,Db,,, , ,, , ,,, ,,,,,,,ST,0.6,NP,OH,2015,NC,,,NC,,,, ,,, ,,2015,ND,,,ACI,,
520,Illinois Power Generating Co,861,Coffeen,IL,01,OP,N,N,, , ,ST,0.35,1,DP,OT,2013,IF,SS,,IF,SS,,ST,0.11,NP,OT,2012,OV,SR,,OV,SR,,ST,0.19,PB,PS,1973,ST,2009,SP,EC,,SP,EC,
520,Illinois Power Generating Co,861,Coffeen,IL,02,OP,N,N,, , ,ST,0.35,1,DP,OT,2013,IF,SS,,IF,SS,,ST,0.11,NP,OT,2012,OV,SR,,OV,SR,,ST,0.15,PB,PS,1972,ST,2009,SP,EK,,SP,EK,
520,Illinois Power Generating Co,6017,Newton,IL,1,OP,D,N,, , ,ST,0.35, ,DP,OT,2013,SS,,,IF,SS,,ST,0.11,NP,OT,2012,OV,LN,,OV,LN,,FD,0.1,PB,PS,1977,ST,2009,ACI,EC,,ACI,EK,SP
520,Illinois Power Generating Co,6017,Newton,IL,2,OP,D,N,, , ,ST,0.35, ,DP,OT,1982,SS,,,IF,SS,,ST,0.11,NP,OT,2003,LN,AA,,LN,AA,,FD,0.1,PB,PS,1982,ST,2009,EC,ACI,,EC,ACI,
528,Covanta Southeastern Connecticut Company,10646,Covanta Southeastern Connecticut Company,CT,BLR1,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,SN,,,, ,,, ,, ,,,,,,
528,Covanta Southeastern Connecticut Company,10646,Covanta Southeastern Connecticut Company,CT,BLR2,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,SN,,,, ,,, ,, ,,,,,,
542,Covanta Essex Company,10643,Covanta Essex Company,NJ,1,OP,N,,, , ,, , ,,, ,,,,,,,ST,300,NM,OH,1990,SN,NH3,,SN,NH3,,, ,,, ,ST,1990,ACI,SD,,,,
542,Covanta Essex Company,10643,Covanta Essex Company,NJ,2,OP,N,,, , ,, , ,,, ,,,,,,,ST,300,NM,OH,1990,SN,NH3,,SN,NH3,,, ,,, ,ST,1990,ACI,SD,,ACI,SD,
542,Covanta Essex Company,10643,Covanta Essex Company,NJ,3,OP,N,,, , ,ST, , ,,, ,,,,,,,ST,300,NM,OH,1990,SN,NH3,,SN,NH3,,, ,,, ,ST,1990,ACI,SD,,ACI,SD,
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,LA,1,OP,N,,, , ,, , ,,, ,,,,,,,FD,20,NH,DA,2013,NC,,,MS,,,, ,,, ,FD, ,,,,,,
