Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B6,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B8,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B2,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B1,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B5,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B10,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B5,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B2,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B6,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B9,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B1,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B4,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B8,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B7,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B3,GEN2
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B1,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B4,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B6,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B10,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B2,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B5,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B3,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B8,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B7,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B9,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B7,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B10,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B5,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B9,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B4,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B6,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B2,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B3,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B1,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B8,GEN4
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B4,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B7,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B8,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B6,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B9,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B1,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B5,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B2,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B3,GEN5
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B10,GEN5
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,GEN1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,GEN1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,GEN1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,GEN1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,GEN1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,GEN2
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,GEN2
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,GEN2
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,GEN2
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,GEN2
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,GEN3
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,GEN3
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,GEN3
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,GEN3
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,GEN3
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,GEN4
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,GEN4
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,GEN4
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,GEN4
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,GEN4
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,GEN5
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,GEN5
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,GEN5
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,GEN5
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,GEN5
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,GEN6
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,GEN6
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,GEN6
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,GEN6
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,GEN2
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,GEN3
