Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
61978,Convergent Energy and Power LP,62499,Orange County Energy Storage 3,CA,OCES3,OP,"Orange County Energy Storage 3, LLC","7 Times Square, Suite 3504",New York,NY,10036,65334,1.0
61194,Generate Capital,62500,Route 19 #1 Community Solar Farm,NY,1258,OP,Generate NY Community Solar V,"560 Davis Street, Suite 250",San Francisco,CA,94111,65342,1.0
61194,Generate Capital,62502,Route 19 #2 Community Solar Farm,NY,1415,OP,Generate NY Community Solar V,"560 Davis Street, Suite 250",San Francisco,CA,94111,65342,1.0
60584,Onyx Asset Services Group,62503,Winchendon Landfill Solar,MA,10237,OP,Solar Mission SunE LLC,230 Park Avenue,New York,NY,10169,61360,1.0
61194,Generate Capital,62517,Yellow Mills Rd #1 Community Solar Farm,NY,1142,OP,Generate NY Community Solar V,"560 Davis Street, Suite 250",San Francisco,CA,94111,65342,1.0
61194,Generate Capital,62518,Yellow Mills Rd #2 Community Solar Farm,NY,1181,OP,Generate NY Community Solar V,"560 Davis Street, Suite 250",San Francisco,CA,94111,65342,1.0
61194,Generate Capital,62519,Yellow Mills Rd #3 Community Solar Farm,NY,1244,OP,Generate NY Community Solar V,"560 Davis Street, Suite 250",San Francisco,CA,94111,65342,1.0
61194,Generate Capital,62525,Villa Roma Rd #1,NY,40,OP,Generate NY Community Solar Lessor II,"560 Davis Street, Suite 250",San Francisco,CA,94111,65341,1.0
61194,Generate Capital,62526,Villa Roma Rd #2,NY,41,OP,Generate NY Community Solar Lessor II,"560 Davis Street, Suite 250",San Francisco,CA,94111,65341,1.0
61194,Generate Capital,62533,Boas Rd #4 Community Solar Farm,NY,1023,OP,Generate NY Community Solar I,"560 Davis Street, Suite 250",San Francisco,CA,94111,65363,1.0
57128,Bloom Energy,62571,Disney Prospect,CA,DSY01,OP,The Walt Disney Company,500 S Buena Vista Street,Burbank,CA,61521,62126,1.0
57128,Bloom Energy,62572,ATT Jericho,NY,ATT49,OP,New York Community Bank,615 Merrick Avenue,Westbury,NY,11590,62125,1.0
57128,Bloom Energy,62573,ATT Kelvin,CA,ATT56,OP,KeyBank,127 Public Square,Cleveland,OH,44114,60948,1.0
57128,Bloom Energy,62574,ATT Van Nyus,CA,ATT93,OP,Key Equipment Finance,1000 McCaslin Blvd,Superior,CO,80027,62002,1.0
57128,Bloom Energy,62575,FLEX Gibraltar,CA,FLX01,OP,KeyBank,127 Public Square,Cleveland,OH,44114,60948,1.0
57128,Bloom Energy,62576,MER Queens,NY,MER01,OP,KeyBank,127 Public Square,Cleveland,OH,44114,60948,1.0
57128,Bloom Energy,62577,APP Prune A-D,CA,AP11A,OP,"Apple, Inc",1 Infinite Loop,Cupertino,CA,95014,57369,1.0
57128,Bloom Energy,62577,APP Prune A-D,CA,AP11B,OP,"Apple, Inc",1 Infinite Loop,Cupertino,CA,95014,57369,1.0
57128,Bloom Energy,62577,APP Prune A-D,CA,AP11C,OP,"Apple, Inc",1 Infinite Loop,Cupertino,CA,95014,57369,1.0
57128,Bloom Energy,62577,APP Prune A-D,CA,AP11D,OP,"Apple, Inc",1 Infinite Loop,Cupertino,CA,95014,57369,1.0
62067,EnterSolar,62578,Preferred Freezer San Leandro,CA,SLPV1,OP,OwnSolar,"450 Raritan Center Parkway, Suite E",Edison,NJ,8837,65133,1.0
64778,"Strata Manager, LLC",62600,Cookstown,NC,COOKS,OP,"Cookstown Solar Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,62098,1.0
64778,"Strata Manager, LLC",62601,Changeup,NC,CHANG,OP,"Changeup Solar, LLC","800 Taylor St, Suite 200",Durham,NC,27701,62099,1.0
64778,"Strata Manager, LLC",62602,Starr,NC,STARR,OP,"Starr Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,62100,1.0
64778,"Strata Manager, LLC",62603,Badger,NC,BADGE,OP,"Badger Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,62101,1.0
62067,EnterSolar,62612,USAA Black Bear Energy,NJ,USBC1,OP,OwnSolar,"450 Raritan Center Parkway, Suite E",Edison,NJ,8837,65133,1.0
62067,EnterSolar,62613,CBP Solar,NY,CBPB1,OP,Continental Building Products,12950 Worldgate Drive,Herndon,VA,20170,65138,1.0
62067,EnterSolar,62614,Kinder Morgan Fordham,NY,KMFO1,OP,OwnSolar,"450 Raritan Center Parkway, Suite E",Edison,NJ,8837,65133,1.0
62067,EnterSolar,62615,ALDI DC 2,CT,ADC2,OP,ALDI Inc.,1200 N Kirk Road,Batavia,IL,60510,65134,1.0
