Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),FAA Obstacle Number
15399,Avangrid Renewables Inc,56765,Barton Windpower LLC,IA,Worth,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,28.0,28.0,28.0,6,2009,14,Gamesa,G87-2.0,16.3,4,255.0,
15399,Avangrid Renewables Inc,56765,Barton Windpower LLC,IA,Worth,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,132.0,132.0,132.0,6,2009,66,Gamesa,G87-2.0,16.3,4,255.0,
15399,Avangrid Renewables Inc,56767,Farmers City Wind LLC,MO,Atchison,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,146.0,146.0,146.0,4,2009,73,Gamesa,G87-2.0,18.6,3,255.0,
15399,Avangrid Renewables Inc,56770,Locust Ridge II LLC,PA,Schuylkill,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,102.0,102.0,102.0,5,2009,51,Gamesa,G87-2.0,16.3,4,255.0,
55963,AE Power Services LLC,56771,Silver Star I Wind Power Project,TX,Erath,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,60.0,60.0,60.0,9,2008,24,Clipper,Liberty C96,19,2,262.4,48-021835
49893,Invenergy Services LLC,56773,McAdoo Wind Energy LLC,TX,Dickens,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,150.0,150.0,150.0,9,2008,100,GE,1.5 SLE,19.5,2,263.0,48-021072
49893,Invenergy Services LLC,56774,Turkey Track Wind  Energy LLC,TX,Nolan,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,169.5,169.5,169.5,11,2008,113,GE,1.5 SLE,17.4,2,263.0,48-022255
49893,Invenergy Services LLC,56775,Scurry County Wind II,TX,Scurry,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,120.0,120.0,120.0,12,2007,80,GE,1.5 SLE,18.6,2,263.0,48-020533
55963,AE Power Services LLC,56777,Fowler Ridge Wind Farm LLC,IN,Benton,FIA,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,201.3,201.3,201.3,3,2009,122,Vestas,V82-1.65,19,2,262.4,18-020161
55963,AE Power Services LLC,56777,Fowler Ridge Wind Farm LLC,IN,Benton,FIB,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.0,100.0,100.0,3,2009,40,Clipper,Liberty C96,19,2,262.4,18-020161
55963,AE Power Services LLC,56777,Fowler Ridge Wind Farm LLC,IN,Benton,FII,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,200.0,200.0,200.0,12,2009,133,GE,1.5 SLE,19,2,262.4,18-020670
55963,AE Power Services LLC,56777,Fowler Ridge Wind Farm LLC,IN,Benton,FIII,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,99.0,99.0,99.0,2,2009,60,Vestas,V82-1.65,19,2,262.4,18-020149
55963,AE Power Services LLC,56779,Sherbino I Wind Farm,TX,Pecos,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,150.0,150.0,150.0,10,2008,50,Vestas,V90-3.0,19,2,262.4,48-021297
12199,Montana-Dakota Utilities Co,56782,Diamond Willow Wind Facility,MT,FALLON,DIAW,OP,Onshore Wind Turbine,WT,Electric Utility,1,30.0,30.0,30.0,12,2007,20,GE,1.5 SLE,12,2,262.5,30-020004
55981,Elbow Creek Wind Project LLC,56783,Elbow Creek Wind Project LLC,TX,Howard,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,121.9,121.9,121.9,12,2008,53,Siemens,SWT-2.3-93,27,1,240.0,2008-ASW-794-OE
55990,"Cloud County Windfarm, LLC",56784,Cloud County Wind Farm,KS,Cloud,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,105.0,105.0,105.0,12,2008,35,Vestas,V90-3.0,18.3,2,262.0,20-020012
55990,"Cloud County Windfarm, LLC",56784,Cloud County Wind Farm,KS,Cloud,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,96.0,96.0,96.0,12,2008,32,Vestas,V90-3.0,17.6,2,262.0,20-020016
15399,Avangrid Renewables Inc,56789,Pebble Springs Wind LLC,OR,Gilliam,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,98.7,98.7,98.7,1,2009,47,Suzlon,S52,14.3,4,259.0,
15399,Avangrid Renewables Inc,56790,Hay Canyon Wind Power LLC,OR,Sherman,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,108.0,108.0,108.0,2,2009,48,Suzlon,S88-2100,16,4,259.0,
15399,Avangrid Renewables Inc,56791,Dillon Wind LLC,CA,Riverside,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,45.0,45.0,45.0,4,2008,30,Mitsubishi,MWT-62/1.0,17,4,226.0,
15399,Avangrid Renewables Inc,56792,Buffalo Ridge I LLC,SD,Brookings,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,50.4,50.4,50.4,4,2009,24,Suzlon,S88-2100,17.9,3,262.4,
15399,Avangrid Renewables Inc,56793,Elm Creek Wind LLC,MN,Jackson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,99.0,99.0,99.0,12,2008,66,GE,1.5 SLE,15.5,4,262.0,
15399,Avangrid Renewables Inc,56794,Moraine II Wind LLC,MN,Pipestone,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,49.5,49.5,49.5,2,2009,33,GE,1.5 SLE,16.1,4,269.0,
15399,Avangrid Renewables Inc,56795,Penascal Wind Power LLC,TX,Kenedy,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,201.6,201.6,201.6,4,2009,84,Mitsubishi,MWT-92/2.4,17.3,3,269.0,
15399,Avangrid Renewables Inc,56796,South Chestnut LLC,PA,Fayette,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,50.4,50.4,50.4,4,2012,23,Gamesa,G90-2.0,15.8,4,255.0,
55992,"Pioneer Prairie Wind Farm I, LLC",56797,Pioneer Prairie Wind Farm,IA,Mitchell,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,300.0,300.0,300.0,10,2008,182,Vestas,V82-1.65,15.8,2,265.0,19-021198
8797,Hull Municipal Light Plant,56800,Hull Wind II,MA,Plymouth,HW2,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.8,1.8,1.8,5,2006,1,Vestas,V80-1.8,12,1,220.0,397050-322993
55918,Acciona Wind Energy USA LLC,56804,Red Hills Wind Project LLC,OK,Roger Mills,RH,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,123.0,123.0,123.0,12,2008,82,Acciona,AW77/1500,19,2,262.4,40-020180
55918,Acciona Wind Energy USA LLC,56805,EcoGrove Wind LLC,IL,Stephenson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.5,100.5,100.5,7,2009,67,Acciona,AW82/1500,23.5,3,262.4,17-020241
