Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),FAA Obstacle Number
54800,Michigan Wind 1 LLC,56416,Michigan Wind 1 LLC,MI,Huron,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,69.0,69.0,69.0,12,2008,GE,1.5 SLE,15.7,2,262.5,26-020154
54819,FPL Energy Mower County LLC,56424,Mower County Wind Energy Center,MN,Mower,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,98.9,98.9,98.9,12,2006,Siemens,Siemens 2.3,19,2,262.5,27-002344
54845,Colorado & Santa Fe Energy Co,56308,Fossil Gulch,ID,Gooding,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.5,10.5,10.5,2,2005,GE,GE 1.5 sle,22,3,262.4,16-000735
54870,FPL Energy Red Canyon LLC,56457,Post Wind Farm LP,TX,Borden,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,84.0,84.0,84.0,4,2006,GE,GE 1.5 SLE,19,2,262.5,48-030884
54904,High Prairie Wind Farm II LLC,56494,Prairie Star Wind Farm,MN,Mower,HP2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.6,100.6,100.6,12,2007,Vestas,V82,16.4,2,265,27-020573
55397,NRG Energy Inc,56649,South Trent Wind Farm,TX,Nolan,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,101.2,101.2,101.2,1,2009,Siemens,44,20,2,240,25
55696,FPL Energy Oliver County Wind,56392,FPL Energy Oliver Wind I LLC,ND,Oliver,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,50.6,50.6,50.6,12,2006,Siemens,2.3 - 93,19,2,262.5,38-001088
55723,Talen Renewable Energy,57182,PPL Frey Farm Landfill Wind,PA,Lancaster,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,3.2,3.2,3.2,1,2011,GE,1.6 XLE,12,2,262,42-020641
55728,Bright Light Capital LLC,55782,Wilmont Hills LLC,MN,Nobles,WH01,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.5,1.5,1.5,12,2001,NEG-Micon,NM72C/1500,19,2,230,
55734,Cow Branch,56536,Cow Branch Wind Power LLC,MO,Atchison,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,50.4,50.4,50.4,4,2008,Suzlon,S-88,17,2,259.2,29-020263
55735,Conception,56537,CR Clearing LLC,MO,Nodaway,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,50.4,50.4,50.4,4,2008,Suzlon,S-88,16,2,259.2,29-020234
55736,Loess Hills,56538,Loess Hills Wind Farm LLC,MO,Atchison,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,5.0,5.0,5.0,2,2008,Suzlon,S-64,13.2,2,241.1,29-020250
55737,Wind Capital Holdings LLC,56555,Wind Capital Holdings LLC,MO,Gentry,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,56.7,56.7,56.7,6,2007,Suzlon,S-88,16,2,259.2,29-020293
55759,H H Management LLC,50533,Painted Hills,CA,Riverside,WGNS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,19.0,19.0,19.0,11,1985,Vestas,V-17,10,1,80,
55785,FPL Peetz Table Wind Energy,56563,Peetz Table Wind Energy,CO,Logan,GE,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,199.5,199.5,199.5,9,2007,GE,SLE,19,2,262.5,08-001524
55799,FPL Energy Langdon Wind LLC,56605,Langdon Wind  LLC,ND,Cavalier,GE15,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,159.0,159.0,159.0,12,2007,GE,GE 1.5 SLE,19,2,262.5,38-000135
55799,FPL Energy Langdon Wind LLC,56912,Langdon Wind II LLC,ND,Cavalier,GE15,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,40.5,40.5,40.5,9,2008,GE,GE 1.5 SLE,19,2,262.5,38-000135
55832,Cowell,56577,Shane's Wind Machine,MN,Pipestone,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.3,1.3,1.3,7,2006,Suzlon,S-88,16.8,2,259.2,27-002799
55833,EXC Wind 6,56562,EXC Wind 6 LLC,TX,Sherman,JDW6,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,1,2007,Suzlon,S-64,20,2,241.1,48-016136
55834,EXC Wind 5,56561,EXC Wind 5 LLC,TX,Sherman,JDW5,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,11,2006,Suzlon,S-64,20,2,241.1,48-01599
55835,EXC Wind 4,56560,EXC Wind 4 LLC,TX,Hansford,JDW4,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,79.8,79.8,79.8,1,2008,Suzlon,S-64,19.1,2,259.2,48-016130
